customer_id,risk_score,risk_tier,decision,top_risk_factors,F1_list_match,F2_behaviour,F3_suspicious,F4_aml_noise,F5_identity,sanctions_flag,pep_flag,adverse_media_flag,fraud_history_flag,document_status,country_risk,structuring_flag,digital_risk_score
C5000,22.9,LOW,APPROVE,Prior fraud history on record; High-risk country of origin,0,22.740000000000002,40.0,16.5,47.0,0,0,0,1,Complete,High,0,31
C5001,19.09,LOW,APPROVE,No significant risk factors identified,0,15.940000000000001,0.0,75.0,6.0,0,0,0,0,Complete,Low,0,22
C5002,17.72,LOW,APPROVE,High-risk country of origin; KYC documents incomplete (partial),0,26.11,40.0,0.0,30.0,0,0,0,0,Partial,High,0,47
C5003,27.79,LOW,APPROVE,High-risk country of origin; KYC documents incomplete (partial); Customer address unverified,0,24.44,70.0,25.0,26.0,0,0,0,0,Partial,High,0,41
C5004,23.48,LOW,APPROVE,High digital / device fraud risk score; Customer address unverified,0,43.394999999999996,50.0,16.5,10.0,0,0,0,0,Complete,Medium,0,72
C5005,7.51,LOW,APPROVE,KYC documents incomplete (partial),0,25.555,0.0,0.0,16.0,0,0,0,0,Partial,Low,0,49
C5006,20.59,LOW,APPROVE,Prior fraud history on record,0,33.69,0.0,25.0,59.0,0,0,0,1,Complete,Low,0,66
C5007,25.8,LOW,APPROVE,Prior fraud history on record; High digital / device fraud risk score,0,41.245,20.0,41.5,35.0,0,0,0,1,Complete,Medium,0,74
C5008,32.02,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; Customer address unverified,0,18.33,50.0,58.0,45.0,0,0,0,1,Complete,Medium,0,26
C5009,26.35,LOW,APPROVE,Prior fraud history on record; Structuring pattern detected (txn/income ratio anomaly); KYC documents incomplete (partial),0,42.99,0.0,41.5,63.0,0,0,0,1,Partial,Low,1,65
C5010,28.53,LOW,APPROVE,Politically Exposed Person (PEP); High-risk country of origin; KYC documents incomplete (partial),70,7.65,40.0,0.0,10.0,0,1,0,0,Partial,High,0,10
C5011,16.23,LOW,APPROVE,High-risk country of origin,0,41.155,40.0,0.0,0.0,0,0,0,0,Complete,High,0,62
C5012,16.91,LOW,APPROVE,High digital / device fraud risk score,0,38.565,0.0,41.5,6.0,0,0,0,0,Complete,Low,0,75
C5013,31.2,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; Customer address unverified,0,17.725,50.0,50.0,51.0,0,0,0,1,Complete,Medium,0,29
C5014,20.83,LOW,APPROVE,Prior fraud history on record; High digital / device fraud risk score,0,53.394999999999996,20.0,0.0,41.0,0,0,0,1,Complete,Medium,0,80
C5015,25.75,LOW,APPROVE,Prior fraud history on record; High-risk country of origin; KYC documents incomplete (partial),0,37.980000000000004,40.0,12.5,51.0,0,0,0,1,Partial,High,0,63
C5016,19.25,LOW,APPROVE,High-risk country of origin; KYC documents incomplete (partial),0,7.245,40.0,41.5,10.0,0,0,0,0,Partial,High,0,5
C5017,23.56,LOW,APPROVE,Structuring pattern detected (txn/income ratio anomaly); High digital / device fraud risk score,0,67.795,0.0,50.0,0.0,0,0,0,0,Complete,Low,1,92
C5018,8.21,LOW,APPROVE,No significant risk factors identified,0,12.07,20.0,0.0,12.0,0,0,0,0,Complete,Medium,0,15
C5019,50.68,MEDIUM,MANUAL_REVIEW,Politically Exposed Person (PEP); KYC documents missing; High-risk country of origin,70,39.415,40.0,58.0,38.0,0,1,0,0,Missing,High,0,61
C5020,75.0,HIGH,REJECT,Sanctions watchlist hit detected; High digital / device fraud risk score; KYC documents incomplete (partial),100,43.4,20.0,16.5,10.0,1,0,0,0,Partial,Medium,0,79
C5021,20.92,LOW,APPROVE,Prior fraud history on record; Customer address unverified,0,16.33,50.0,0.0,51.0,0,0,0,1,Complete,Medium,0,28
C5022,16.3,LOW,APPROVE,High-risk country of origin,0,41.475,40.0,0.0,0.0,0,0,0,0,Complete,High,0,68
C5023,38.44,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; High-risk country of origin; High digital / device fraud risk score,0,50.965,40.0,75.0,35.0,0,0,0,1,Complete,High,0,93
C5024,25.18,LOW,APPROVE,High digital / device fraud risk score; Customer address unverified,0,54.375,30.0,25.0,22.0,0,0,0,0,Complete,Low,0,95
C5025,16.8,LOW,APPROVE,Prior fraud history on record,0,32.765,0.0,25.0,35.0,0,0,0,1,Complete,Low,0,64
C5026,25.65,LOW,APPROVE,High-risk country of origin,0,17.265,40.0,66.5,6.0,0,0,0,0,Complete,High,0,34
C5027,13.98,LOW,APPROVE,No significant risk factors identified,0,19.42,0.0,41.5,12.0,0,0,0,0,Complete,Low,0,22
C5028,27.99,LOW,APPROVE,Prior fraud history on record; Structuring pattern detected (txn/income ratio anomaly),0,59.195,0.0,50.0,41.0,0,0,0,1,Complete,Low,1,70
C5029,33.88,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; KYC documents missing; Structuring pattern detected (txn/income ratio anomaly),0,30.655,50.0,25.0,85.0,0,0,0,1,Missing,Medium,1,40
